url,type,ml_prob,hybrid_prob,ml_correct,hybrid_correct
https://pqt-ml.pro/74946779,Phishing,0.777,0.95,True,True
http://allegro.0f29f288fd-1.sbs/,Phishing,0.998,0.95,True,True
https://renltyin.dynv6.net/AR24/,Phishing,0.199,0.95,False,True
https://allegro.936478326582937.bond/,Phishing,0.199,0.95,False,True
https://allegrolokalnie.905404.click/baga%C5%BCnik-thule-easyfold-xt-934/43407,Phishing,1.0,0.95,True,True
https://www.nadiaviberti.it/,Phishing,0.199,0.3,False,False
https://allegro.936478326582937.bond/lokalnie/?id=8M0K2V4m7s2a4F1d0v8W8c2G4z9W3l3O&amp;fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEeAGHumZCndt1JRSiP6OIy8trXjaUTiCTrmNAu99rsRleuLa69bsGxZyjw5c4_aem_Z6LJz0V-DB_YSAAlIPhvkw,Phishing,1.0,0.95,True,True
https://allegro.0f29f288fd-1.sbs/,Phishing,0.777,0.95,True,True
https://14092857.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
https://is.gd/94mhgy,Phishing,0.199,0.95,False,True
http://allegrolokalnie.pl-oferta2947285.click/oferta/ps5-pro-2tb-jak-nowka,Phishing,0.998,0.95,True,True
http://allegrolokalnie.pl-28742.lat,Phishing,0.998,0.5,True,True
https://kuconlogins.webflow.io/,Phishing,0.199,0.95,False,True
https://e-carte-vital.com/billing.php,Phishing,0.777,0.95,True,True
https://e-carte-vital.com/demande.php,Phishing,0.777,0.95,True,True
http://prime-remboursement.com/,Phishing,0.998,0.95,True,True
https://soveja.ro/redelivery/index.php,Phishing,0.199,0.95,False,True
https://24159783.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
https://pqt-ml.pro/,Phishing,0.777,0.95,True,True
https://alarabaia.wixsite.com/website-7,Phishing,0.199,0.95,False,True
https://m-jrs.pro/arnaque@arnaque.com,Phishing,1.0,0.95,True,True
https://tinyurl.com/mrydhwc2,Phishing,0.192,0.95,False,True
https://49021873.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
https://upoffgm.weebly.com/,Phishing,0.199,0.95,False,True
https://e-carte-vital.com/,Phishing,0.777,0.95,True,True
https://74029561.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
https://enxoduss.wixstudio.com/en-us,Phishing,0.199,0.95,False,True
https://60147928.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
http://xg.hztiynz.com,Phishing,0.995,0.95,True,True
https://20397856.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
http://m-jrs.pro/arnaque@arnaque.com,Phishing,1.0,0.95,True,True
https://m-jrs.pro/,Phishing,0.777,0.95,True,True
https://80135492.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
http://kuconlogins.webflow.io,Phishing,0.995,0.95,True,True
https://carteavantages-connect11.com/?wl=Ks93KqA9Ln12,Phishing,1.0,0.95,True,True
https://sign-in-to-xfinity-101463.weeblysite.com,Phishing,0.777,0.95,True,True
http://prime-remboursement.com/p/7nq2k8m4pa,Phishing,0.998,0.95,True,True
https://bafkreie7i3domnecvodknfn4lrdiyswq3jlu73t3oidm3ch7jmomacjyji.ipfs.dweb.link/,Phishing,1.0,0.5,True,True
http://allegro.403773.pl/,Phishing,0.995,0.95,True,True
https://31508497.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
https://allegro.936478326582937.bond,Phishing,0.199,0.95,False,True
https://26458013.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
https://m-jrs.pro/74946779,Phishing,0.777,0.95,True,True
https://allegro-lokalnie.pl-573948.sbs/oferta/smartwatch-garmin-forerunner-970-czarny-nowy-gwarancja-2-lata-paragon-olsztyn-af96f504,Phishing,1.0,0.95,True,True
https://tintabrshop-three.vercel.app/,Phishing,0.777,0.95,True,True
https://43820675.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
https://docs.zoom.us/doc/VFgxMQG2RwqGirNkfEVIrw?from=email,Phishing,1.0,0.95,True,True
https://86731049.xyz/17xfggji/GRHiBj/ydysVo,Phishing,0.199,0.95,False,True
http://allegro.728012.pl/,Phishing,0.995,0.95,True,True
http://allegrolokalnie.pl-oferta-6930432.click/,Phishing,0.998,0.95,True,True
https://mail.ru,Legitimate,0.199,0.1,True,True
https://office.net,Legitimate,0.199,0.1,True,True
https://microsoft.com,Legitimate,0.199,0.1,True,True
https://trafficmanager.net,Legitimate,0.199,0.1,True,True
https://whatsapp.net,Legitimate,0.199,0.1,True,True
https://appsflyersdk.com,Legitimate,0.199,0.1,True,True
https://github.com,Legitimate,0.199,0.1,True,True
https://apple-dns.net,Legitimate,0.777,0.95,False,False
https://googlevideo.com,Legitimate,0.199,0.1,True,True
https://workers.dev,Legitimate,0.199,0.1,True,True
https://digicert.com,Legitimate,0.199,0.1,True,True
https://chatgpt.com,Legitimate,0.199,0.1,True,True
https://googletagmanager.com,Legitimate,0.199,0.1,True,True
https://amazon.com,Legitimate,0.199,0.1,True,True
https://facebook.com,Legitimate,0.199,0.1,True,True
https://googleapis.com,Legitimate,0.199,0.1,True,True
https://live.com,Legitimate,0.199,0.1,True,True
https://pinterest.com,Legitimate,0.199,0.1,True,True
https://azure.com,Legitimate,0.199,0.1,True,True
https://fbcdn.net,Legitimate,0.199,0.1,True,True
https://akadns.net,Legitimate,0.199,0.1,True,True
https://akamaiedge.net,Legitimate,0.199,0.1,True,True
https://aaplimg.com,Legitimate,0.199,0.1,True,True
https://apple.com,Legitimate,0.199,0.1,True,True
https://sharepoint.com,Legitimate,0.199,0.1,True,True
https://youtu.be,Legitimate,0.199,0.3,True,True
https://instagram.com,Legitimate,0.199,0.1,True,True
https://doubleclick.net,Legitimate,0.199,0.1,True,True
https://keenetic.io,Legitimate,0.199,0.1,True,True
https://amazonaws.com,Legitimate,0.199,0.1,True,True
https://office.com,Legitimate,0.199,0.1,True,True
https://wikipedia.org,Legitimate,0.199,0.1,True,True
https://google.com,Legitimate,0.199,0.1,True,True
https://pv-cdn.net,Legitimate,0.777,0.1,False,True
https://domaincontrol.com,Legitimate,0.199,0.1,True,True
